age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'eight' in French?,huit,"['Recall French numbers 1–10.', ""Identify number 8: 'huit'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Monday and Tuesday' in German.,Montag und Dienstag,"[""Translate 'Monday' = 'Montag', 'Tuesday' = 'Dienstag'."", ""Join them with 'und' for 'and'."", ""Form sentence: 'Montag und Dienstag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'bird' in Arabic?,طائر,"[""Identify 'bird' in Arabic: 'طائر'."", ""Pronounce it as 'ta’ir'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The orange is ___.,L'arancia è arancione,"[""Identify the color orange = 'arancione'."", ""Form sentence: 'L'arancia è arancione'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'eraser' to Spanish.,borrador,"[""Identify classroom object: 'eraser'."", ""Translate to Spanish: 'borrador'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The car is red' in French.,La voiture est rouge,"[""Translate 'car' = 'voiture'."", ""Translate 'red' = 'rouge'."", ""Form sentence: 'La voiture est rouge'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'ten' in German?,zehn,"['Identify number 10.', ""Translate to German: 'zehn'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Sunday and Monday' in Arabic.,الأحد والاثنين,"[""Translate 'Sunday' = 'الأحد', 'Monday' = 'الاثنين'."", ""Join them with 'و' (and)."", ""Form sentence: 'الأحد والاثنين'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'cat' in Italian?,gatto,"[""Identify animal: 'cat'."", ""Translate to Italian: 'gatto'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The strawberry is ___.,La fresa es roja,"[""Identify color red = 'roja'."", ""Form sentence: 'La fresa es roja'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'pencil case' to French.,trousse,"[""Identify classroom object: 'pencil case'."", ""Translate to French: 'trousse'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The blackboard is black' in German.,Die Tafel ist schwarz,"[""Translate 'blackboard' = 'Tafel', 'black' = 'schwarz'."", ""Use article 'die'."", ""Form sentence: 'Die Tafel ist schwarz'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 20 in Arabic?,٢٠,"['Recall Arabic numerals.', ""Write 20 = '٢٠'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Tomorrow is Thursday' in Italian.,Domani è giovedì,"[""Translate 'tomorrow' = 'domani'."", ""Translate 'Thursday' = 'giovedì'."", ""Form sentence: 'Domani è giovedì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The elephant is big' into Spanish.,El elefante es grande,"[""Translate 'elephant' = 'elefante'."", ""Translate 'big' = 'grande'."", ""Use correct article 'el'."", ""Form sentence: 'El elefante es grande'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The cherries are ___.,Les cerises sont rouges,"[""Identify plural noun 'cerises'."", ""Identify color red = 'rouges'."", ""Form sentence: 'Les cerises sont rouges'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The notebook is new' into German.,Das Heft ist neu,"[""Translate 'notebook' = 'Heft', 'new' = 'neu'."", ""Use article 'das'."", ""Form sentence: 'Das Heft ist neu'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The tree is green' in Arabic.,الشجرة خضراء,"[""Translate 'tree' = 'الشجرة'."", ""Translate 'green' = 'خضراء'."", ""Form sentence: 'الشجرة خضراء'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'four' in Italian?,quattro,"['Recall Italian numbers 1–10.', ""Translate 4 = 'quattro'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The lemon is ___.,El limón es amarillo,"[""Identify the color yellow = 'amarillo'."", ""Form the sentence: 'El limón es amarillo'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'nine' in French?,neuf,"['Recall French numbers 1–10.', ""Identify number 9: 'neuf'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Friday is fun' in German.,Freitag macht Spaß,"[""Translate 'Friday' = 'Freitag'."", ""Translate 'is fun' = 'macht Spaß'."", ""Form sentence: 'Freitag macht Spaß'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'fish' in Arabic?,سمكة,"[""Identify 'fish' in Arabic: 'سمكة'."", ""Pronounce it as 'samakah'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The apple is ___.,La mela è rossa,"[""Identify color red = 'rossa'."", ""Form sentence: 'La mela è rossa'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'ruler' to Spanish.,regla,"[""Identify classroom object: 'ruler'."", ""Translate to Spanish: 'regla'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The flower is pink' in French.,La fleur est rose,"[""Translate 'flower' = 'fleur'."", ""Translate 'pink' = 'rose'."", ""Form sentence: 'La fleur est rose'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'six' in German?,sechs,"['Identify number 6.', ""Translate to German: 'sechs'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Wednesday is a school day' in Arabic.,الأربعاء يوم مدرسة,"[""Translate 'Wednesday' = 'الأربعاء'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الأربعاء يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'rabbit' in Italian?,coniglio,"[""Identify animal: 'rabbit'."", ""Translate to Italian: 'coniglio'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The pear is ___.,La pera es verde,"[""Identify color green = 'verde'."", ""Form sentence: 'La pera es verde'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'chair' to French.,chaise,"[""Identify classroom object: 'chair'."", ""Translate to French: 'chaise'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The blue pencil is on the desk' in German.,Der blaue Bleistift liegt auf dem Schreibtisch,"[""Translate 'pencil' = 'Bleistift', 'blue' = 'blaue'."", ""Translate 'desk' = 'Schreibtisch'."", ""Use correct article 'der'."", ""Form sentence: 'Der blaue Bleistift liegt auf dem Schreibtisch'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 15 in Arabic?,١٥,"['Recall Arabic numerals.', ""Write 15 = '١٥'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Tuesday' in Italian.,Ieri era martedì,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Tuesday' = 'martedì'."", ""Form sentence: 'Ieri era martedì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The monkey is small' into Spanish.,El mono es pequeño,"[""Translate 'monkey' = 'mono'."", ""Translate 'small' = 'pequeño'."", ""Use correct article 'el'."", ""Form sentence: 'El mono es pequeño'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The bananas are ___.,Les bananes sont jaunes,"[""Identify plural noun 'bananes'."", ""Identify color yellow = 'jaunes'."", ""Form sentence: 'Les bananes sont jaunes'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The pen is black' into German.,Der Stift ist schwarz,"[""Translate 'pen' = 'Stift', 'black' = 'schwarz'."", ""Use article 'der'."", ""Form sentence: 'Der Stift ist schwarz'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The car is white' in Arabic.,السيارة بيضاء,"[""Translate 'car' = 'السيارة'."", ""Translate 'white' = 'بيضاء'."", ""Form sentence: 'السيارة بيضاء'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'three' in Italian?,tre,"['Recall Italian numbers 1–10.', ""Translate 3 = 'tre'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The sky is ___.,El cielo es azul,"[""Identify the color blue = 'azul'."", ""Form the sentence: 'El cielo es azul'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'two' in French?,deux,"['Recall French numbers 1–10.', ""Identify number 2 = 'deux'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Saturday is fun' in German.,Samstag macht Spaß,"[""Translate 'Saturday' = 'Samstag'."", ""Translate 'is fun' = 'macht Spaß'."", ""Form sentence: 'Samstag macht Spaß'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'horse' in Arabic?,حصان,"[""Identify 'horse' in Arabic: 'حصان'."", ""Pronounce it as 'hisān'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The strawberry is ___.,La fragola è rossa,"[""Identify color red = 'rossa'."", ""Form sentence: 'La fragola è rossa'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'school bag' to Spanish.,mochila,"[""Identify classroom object: 'school bag'."", ""Translate to Spanish: 'mochila'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The tree is brown' in French.,L'arbre est marron,"[""Translate 'tree' = 'arbre'."", ""Translate 'brown' = 'marron'."", ""Form sentence: 'L'arbre est marron'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'one' in German?,eins,"['Identify number 1.', ""Translate to German: 'eins'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Monday is a school day' in Arabic.,الاثنين يوم مدرسة,"[""Translate 'Monday' = 'الاثنين'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الاثنين يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'duck' in Italian?,anatra,"[""Identify animal: 'duck'."", ""Translate to Italian: 'anatra'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The orange is ___.,La naranja es naranja,"[""Identify color orange = 'naranja'."", ""Form sentence: 'La naranja es naranja'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'desk' to French.,bureau,"[""Identify classroom object: 'desk'."", ""Translate to French: 'bureau'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The red book is on the chair' in German.,Das rote Buch liegt auf dem Stuhl,"[""Translate 'book' = 'Buch', 'red' = 'rote'."", ""Translate 'chair' = 'Stuhl'."", ""Use article 'das'."", ""Form sentence: 'Das rote Buch liegt auf dem Stuhl'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 18 in Arabic?,١٨,"['Recall Arabic numerals.', ""Write 18 = '١٨'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Tomorrow is Monday' in Italian.,Domani è lunedì,"[""Translate 'tomorrow' = 'domani'."", ""Translate 'Monday' = 'lunedì'."", ""Form sentence: 'Domani è lunedì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The tiger is strong' into Spanish.,El tigre es fuerte,"[""Translate 'tiger' = 'tigre'."", ""Translate 'strong' = 'fuerte'."", ""Use correct article 'el'."", ""Form sentence: 'El tigre es fuerte'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The grapes are ___.,Les raisins sont verts,"[""Identify plural noun 'raisins'."", ""Identify color green = 'verts'."", ""Form sentence: 'Les raisins sont verts'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The eraser is pink' into German.,Der Radiergummi ist rosa,"[""Translate 'eraser' = 'Radiergummi', 'pink' = 'rosa'."", ""Use article 'der'."", ""Form sentence: 'Der Radiergummi ist rosa'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The ball is red' in Arabic.,الكرة حمراء,"[""Translate 'ball' = 'الكرة'."", ""Translate 'red' = 'حمراء'."", ""Form sentence: 'الكرة حمراء'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'nine' in Italian?,nove,"['Recall Italian numbers 1–10.', ""Translate 9 = 'nove'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The grass is ___.,El césped es verde,"[""Identify the color green = 'verde'."", ""Form the sentence: 'El césped es verde'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'five' in French?,cinq,"['Recall French numbers 1–10.', ""Identify number 5 = 'cinq'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Thursday is a holiday' in German.,Donnerstag ist ein Feiertag,"[""Translate 'Thursday' = 'Donnerstag'."", ""Translate 'is a holiday' = 'ist ein Feiertag'."", ""Form sentence: 'Donnerstag ist ein Feiertag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'sheep' in Arabic?,خروف,"[""Identify 'sheep' in Arabic: 'خروف'."", ""Pronounce it as 'kharuf'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The watermelon is ___.,L'anguria è verde,"[""Identify color green = 'verde'."", ""Form sentence: 'L'anguria è verde'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'chair' to Spanish.,silla,"[""Identify classroom object: 'chair'."", ""Translate to Spanish: 'silla'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The apple is green' in French.,La pomme est verte,"[""Translate 'apple' = 'pomme'."", ""Translate 'green' = 'verte'."", ""Form sentence: 'La pomme est verte'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'seven' in German?,sieben,"['Identify number 7.', ""Translate to German: 'sieben'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Thursday is a school day' in Arabic.,الخميس يوم مدرسة,"[""Translate 'Thursday' = 'الخميس'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الخميس يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'sheep' in Italian?,pecora,"[""Identify animal: 'sheep'."", ""Translate to Italian: 'pecora'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The pineapple is ___.,La piña es amarilla,"[""Identify color yellow = 'amarilla'."", ""Form sentence: 'La piña es amarilla'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'pen' to French.,stylo,"[""Identify classroom object: 'pen'."", ""Translate to French: 'stylo'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The white paper is on the table' in German.,Das weiße Papier liegt auf dem Tisch,"[""Translate 'paper' = 'Papier', 'white' = 'weiße'."", ""Translate 'table' = 'Tisch'."", ""Use article 'das'."", ""Form sentence: 'Das weiße Papier liegt auf dem Tisch'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 13 in Arabic?,١٣,"['Recall Arabic numerals.', ""Write 13 = '١٣'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Friday' in Italian.,Ieri era venerdì,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Friday' = 'venerdì'."", ""Form sentence: 'Ieri era venerdì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The bear is big' into Spanish.,El oso es grande,"[""Translate 'bear' = 'oso'."", ""Translate 'big' = 'grande'."", ""Use correct article 'el'."", ""Form sentence: 'El oso es grande'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The lemon is ___.,Le citron est jaune,"[""Identify singular noun 'citron'."", ""Identify color yellow = 'jaune'."", ""Form sentence: 'Le citron est jaune'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The desk is brown' into German.,Der Schreibtisch ist braun,"[""Translate 'desk' = 'Schreibtisch', 'brown' = 'braun'."", ""Use article 'der'."", ""Form sentence: 'Der Schreibtisch ist braun'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The book is blue' in Arabic.,الكتاب أزرق,"[""Translate 'book' = 'الكتاب'."", ""Translate 'blue' = 'أزرق'."", ""Form sentence: 'الكتاب أزرق'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'eight' in Italian?,otto,"['Recall Italian numbers 1–10.', ""Translate 8 = 'otto'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The sun is ___.,El sol es amarillo,"[""Identify the color yellow = 'amarillo'."", ""Form the sentence: 'El sol es amarillo'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'three' in French?,trois,"['Recall French numbers 1–10.', ""Identify number 3 = 'trois'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Sunday is rest day' in German.,Sonntag ist ein Ruhetag,"[""Translate 'Sunday' = 'Sonntag'."", ""Translate 'is rest day' = 'ist ein Ruhetag'."", ""Form sentence: 'Sonntag ist ein Ruhetag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'dog' in Arabic?,كلب,"[""Identify 'dog' in Arabic: 'كلب'."", ""Pronounce it as 'kalb'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The cherry is ___.,La ciliegia è rossa,"[""Identify color red = 'rossa'."", ""Form sentence: 'La ciliegia è rossa'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'notebook' to Spanish.,cuaderno,"[""Identify classroom object: 'notebook'."", ""Translate to Spanish: 'cuaderno'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The banana is yellow' in French.,La banane est jaune,"[""Translate 'banana' = 'banane'."", ""Translate 'yellow' = 'jaune'."", ""Form sentence: 'La banane est jaune'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'four' in German?,vier,"['Identify number 4.', ""Translate to German: 'vier'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Saturday is fun day' in Arabic.,السبت يوم ممتع,"[""Translate 'Saturday' = 'السبت'."", ""Translate 'fun day' = 'يوم ممتع'."", ""Form sentence: 'السبت يوم ممتع'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'dog' in Italian?,cane,"[""Identify animal: 'dog'."", ""Translate to Italian: 'cane'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The watermelon is ___.,La sandía es verde,"[""Identify color green = 'verde'."", ""Form sentence: 'La sandía es verde'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'book' to French.,livre,"[""Identify classroom object: 'book'."", ""Translate to French: 'livre'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The green pen is on the table' in German.,Der grüne Stift liegt auf dem Tisch,"[""Translate 'pen' = 'Stift', 'green' = 'grüne'."", ""Translate 'table' = 'Tisch'."", ""Use article 'der'."", ""Form sentence: 'Der grüne Stift liegt auf dem Tisch'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 12 in Arabic?,١٢,"['Recall Arabic numerals.', ""Write 12 = '١٢'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Monday' in Italian.,Ieri era lunedì,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Monday' = 'lunedì'."", ""Form sentence: 'Ieri era lunedì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The cat is small' into Spanish.,El gato es pequeño,"[""Translate 'cat' = 'gato'."", ""Translate 'small' = 'pequeño'."", ""Use correct article 'el'."", ""Form sentence: 'El gato es pequeño'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The apple is ___.,La pomme est rouge,"[""Identify singular noun 'pomme'."", ""Identify color red = 'rouge'."", ""Form sentence: 'La pomme est rouge'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The chair is green' into German.,Der Stuhl ist grün,"[""Translate 'chair' = 'Stuhl', 'green' = 'grün'."", ""Use article 'der'."", ""Form sentence: 'Der Stuhl ist grün'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The chair is brown' in Arabic.,الكرسي بني,"[""Translate 'chair' = 'الكرسي'."", ""Translate 'brown' = 'بني'."", ""Form sentence: 'الكرسي بني'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'five' in Italian?,cinque,"['Recall Italian numbers 1–10.', ""Translate 5 = 'cinque'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The sky is ___.,El cielo es azul,"[""Identify the color blue = 'azul'."", ""Form the sentence: 'El cielo es azul'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'six' in French?,six,"['Recall French numbers 1–10.', ""Identify number 6 = 'six'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Monday is a school day' in German.,Montag ist ein Schultag,"[""Translate 'Monday' = 'Montag'."", ""Translate 'is a school day' = 'ist ein Schultag'."", ""Form sentence: 'Montag ist ein Schultag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'cat' in Arabic?,قط,"[""Identify 'cat' in Arabic: 'قط'."", ""Pronounce it as 'qiṭṭ'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The banana is ___.,La banana è gialla,"[""Identify color yellow = 'gialla'."", ""Form sentence: 'La banana è gialla'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'pencil' to Spanish.,lápiz,"[""Identify classroom object: 'pencil'."", ""Translate to Spanish: 'lápiz'.""]"
