age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 91 to 100 in order.,"91, 92, 93, 94, 95, 96, 97, 98, 99, 100","['Start from 91.', 'Add 1 repeatedly until 100.', 'Numbers in order: 91 to 100.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the watermelons: 🍉🍉🍉🍉🍉🍉🍉🍉,8,"['Count each watermelon: 1, 2, 3, 4, 5, 6, 7, 8.', 'Total watermelons: 8.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 2?,3,"['Count up from 2.', 'The next number is 3.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the birds: 🐦🐦🐦,3,"['Count each bird: 1, 2, 3.', 'Total birds: 3.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 16, __, 18, __, 20","17, 19","['The sequence increases by 1 each time.', 'The missing numbers are 17 and 19.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the oranges: 🍊🍊🍊🍊,4,"['Count each orange one by one: 1, 2, 3, 4.', 'Total oranges: 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes before 8?,7,"['Count backwards from 8.', 'The number before 8 is 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the stars: ⭐⭐⭐,3,"['Count each star: 1, 2, 3.', 'Total stars: 3.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 6, __, 8, __, 10","7, 9","['The numbers increase by 1 each time.', 'The missing numbers are 7 and 9.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the apples: 🍎🍎🍎🍎🍎🍎🍎,7,"['Count each apple one by one: 1, 2, 3, 4, 5, 6, 7.', 'Total apples: 7.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes after 18?,19,"['Count up from 18.', 'The next number is 19.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 10 to 15 in order.,"10, 11, 12, 13, 14, 15","['Start from 10 and add 1 repeatedly.', 'Numbers in order: 10, 11, 12, 13, 14, 15.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the bananas: 🍌🍌🍌🍌🍌🍌🍌🍌,8,"['Count each banana: 1, 2, 3, 4, 5, 6, 7, 8.', 'Total bananas: 8.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 2, 3, __, 5",4,"['Look at the sequence: 2, 3, __, 5.', 'The missing number is 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the dogs: 🐶🐶🐶🐶🐶,5,"['Count each dog: 1, 2, 3, 4, 5.', 'Total dogs: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 7, __, 9, __, 11","8, 10","['The sequence increases by 1 each time.', 'The missing numbers are 8 and 10.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 31 to 35 in order.,"31, 32, 33, 34, 35","['Start from 31 and add 1 repeatedly.', 'Numbers in order: 31, 32, 33, 34, 35.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the watermelons: 🍉🍉🍉🍉🍉🍉🍉🍉🍉,9,"['Count each watermelon: 1, 2, 3, 4, 5, 6, 7, 8, 9.', 'Total watermelons: 9.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 1?,2,"['Count up from 1.', 'The next number is 2.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the flowers: 🌸🌸🌸🌸,4,"['Count each flower: 1, 2, 3, 4.', 'Total flowers: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 13, __, 15, __, 17","14, 16","['The sequence increases by 1 each time.', 'The missing numbers are 14 and 16.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the bananas: 🍌🍌🍌🍌🍌,5,"['Count each banana one by one: 1, 2, 3, 4, 5.', 'Total bananas: 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 12?,13,"['Count up from 12.', 'The next number is 13.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the cats: 🐱🐱🐱🐱,4,"['Count each cat: 1, 2, 3, 4.', 'Total cats: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 9, __, 11, __, 13","10, 12","['The sequence increases by 1 each time.', 'The missing numbers are 10 and 12.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the balloons: 🎈🎈🎈🎈🎈🎈🎈,7,"['Count each balloon: 1, 2, 3, 4, 5, 6, 7.', 'Total balloons: 7.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 20?,19,"['Count backwards from 20.', 'The number before 20 is 19.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the grapes: 🍇🍇🍇🍇🍇🍇🍇🍇,8,"['Count each grape: 1, 2, 3, 4, 5, 6, 7, 8.', 'Total grapes: 8.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 5, 6, __, 8",7,"['Look at the sequence: 5, 6, __, 8.', 'The missing number is 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the birds: 🐦🐦🐦🐦🐦,5,"['Count each bird: 1, 2, 3, 4, 5.', 'Total birds: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 36 to 40 in order.,"36, 37, 38, 39, 40","['Start from 36 and add 1 repeatedly.', 'Numbers in order: 36, 37, 38, 39, 40.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the watermelons: 🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉,10,"['Count each watermelon: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.', 'Total watermelons: 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 0?,1,"['Count up from 0.', 'The next number is 1.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the flowers: 🌸🌸🌸🌸🌸🌸,6,"['Count each flower: 1, 2, 3, 4, 5, 6.', 'Total flowers: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 17, __, 19, __, 21","18, 20","['The sequence increases by 1 each time.', 'The missing numbers are 18 and 20.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the pencils: ✏️✏️✏️,3,"['Count each pencil: 1, 2, 3.', 'Total pencils: 3.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the chairs: 🪑🪑🪑🪑🪑,5,"['Count each chair: 1, 2, 3, 4, 5.', 'Total chairs: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 1, __, 3, __, 5","2, 4","['The numbers increase by 1 each time.', 'The missing numbers are 2 and 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 14?,13,"['Count backwards from 14.', 'The number before 14 is 13.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 3, 4, __, 6",5,"['Look at the sequence: 3, 4, __, 6.', 'The missing number is 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the dogs: 🐶🐶🐶🐶,4,"['Count each dog: 1, 2, 3, 4.', 'Total dogs: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 8, __, 10, __, 12","9, 11","['The sequence increases by 1 each time.', 'The missing numbers are 9 and 11.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 41 to 45 in order.,"41, 42, 43, 44, 45","['Start from 41 and add 1 repeatedly.', 'Numbers in order: 41, 42, 43, 44, 45.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 5?,6,"['Count up from 5.', 'The next number is 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 19, __, 21, __, 23","20, 22","['The sequence increases by 1 each time.', 'The missing numbers are 20 and 22.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 3?,4,"['Count up from 3.', 'The next number is 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the chairs: 🪑🪑🪑,3,"['Count each chair: 1, 2, 3.', 'Total chairs: 3.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 10, __, 12, __, 14","11, 13","['The numbers increase by 1 each time.', 'The missing numbers are 11 and 13.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 15?,14,"['Count backwards from 15.', 'The number before 15 is 14.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the grapes: 🍇🍇🍇🍇🍇🍇,6,"['Count each grape: 1, 2, 3, 4, 5, 6.', 'Total grapes: 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 6, 7, __, 9",8,"['Look at the sequence: 6, 7, __, 9.', 'The missing number is 8.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the dogs: 🐶🐶🐶🐶🐶🐶,6,"['Count each dog: 1, 2, 3, 4, 5, 6.', 'Total dogs: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 5, __, 7, __, 9","6, 8","['The sequence increases by 1 each time.', 'The missing numbers are 6 and 8.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 4?,5,"['Count up from 4.', 'The next number is 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the flowers: 🌸🌸🌸🌸🌸🌸🌸,7,"['Count each flower: 1, 2, 3, 4, 5, 6, 7.', 'Total flowers: 7.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 21, __, 23, __, 25","22, 24","['The sequence increases by 1 each time.', 'The missing numbers are 22 and 24.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 9?,10,"['Count up from 9.', 'The next number is 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the chairs: 🪑🪑🪑🪑,4,"['Count each chair: 1, 2, 3, 4.', 'Total chairs: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 2, __, 4, __, 6","3, 5","['The numbers increase by 1 each time.', 'The missing numbers are 3 and 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the apples: 🍎🍎🍎🍎🍎,5,"['Count each apple: 1, 2, 3, 4, 5.', 'Total apples: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 11?,10,"['Count backwards from 11.', 'The number before 11 is 10.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the grapes: 🍇🍇🍇🍇🍇,5,"['Count each grape: 1, 2, 3, 4, 5.', 'Total grapes: 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 8, 9, __, 11",10,"['Look at the sequence: 8, 9, __, 11.', 'The missing number is 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the dogs: 🐶🐶🐶,3,"['Count each dog: 1, 2, 3.', 'Total dogs: 3.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 14, __, 16, __, 18","15, 17","['The sequence increases by 1 each time.', 'The missing numbers are 15 and 17.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the watermelons: 🍉🍉🍉🍉🍉🍉,6,"['Count each watermelon: 1, 2, 3, 4, 5, 6.', 'Total watermelons: 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the pencils: ✏️✏️,2,"['Count each pencil: 1, 2.', 'Total pencils: 2.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 1?,2,"['Count up from 1.', 'The next number is 2.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the chairs: 🪑🪑🪑🪑🪑🪑,6,"['Count each chair: 1, 2, 3, 4, 5, 6.', 'Total chairs: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the apples: 🍎🍎🍎🍎,4,"['Count each apple: 1, 2, 3, 4.', 'Total apples: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 12?,11,"['Count backwards from 12.', 'The number before 12 is 11.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 6, __, 8, __, 10","7, 9","['The sequence increases by 1 each time.', 'The missing numbers are 7 and 9.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the watermelons: 🍉🍉🍉🍉🍉🍉🍉,7,"['Count each watermelon: 1, 2, 3, 4, 5, 6, 7.', 'Total watermelons: 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the pencils: ✏️✏️✏️✏️✏️✏️,6,"['Count each pencil: 1, 2, 3, 4, 5, 6.', 'Total pencils: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 4, __, 6, __, 8","5, 7","['The numbers increase by 1 each time.', 'The missing numbers are 5 and 7.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 13?,12,"['Count backwards from 13.', 'The number before 13 is 12.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 9, __, 11, __, 13","10, 12","['The sequence increases by 1 each time.', 'The missing numbers are 10 and 12.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 5?,6,"['Count up from 5.', 'The next number is 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 6?,7,"['Count up from 6.', 'The next number is 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the flowers: 🌸🌸🌸,3,"['Count each flower: 1, 2, 3.', 'Total flowers: 3.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the pencils: ✏️✏️✏️✏️✏️✏️✏️,7,"['Count each pencil: 1, 2, 3, 4, 5, 6, 7.', 'Total pencils: 7.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the grapes: 🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇,10,"['Count each grape: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.', 'Total grapes: 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the stars: ⭐⭐⭐⭐⭐,5,"['Count each star: 1, 2, 3, 4, 5.', 'Total stars: 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the ducks: 🦆🦆🦆🦆🦆🦆🦆🦆,8,"['Count each duck one by one.', 'There are 8 ducks.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,What number comes after 39?,40,"['Counting forward, the number after 39 is 40.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 31, __, 33, __, 35","32, 34","['Numbers increase by 1 each time.', 'Missing numbers are 32 and 34.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What number comes after 12?,13,"['Count up from 12.', 'Next number is 13.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers backward from 20 to 11.,"20, 19, 18, 17, 16, 15, 14, 13, 12, 11","['Start from 20.', 'Subtract 1 each time until you reach 11.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the frogs: 🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸,11,"['Count each frog one by one.', 'There are 11 frogs in total.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes before 5?,4,"['Count backward from 5.', 'The number before 5 is 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the balloons: 🎈🎈🎈🎈,4,"['Count each balloon: 1, 2, 3, 4.', 'There are 4 balloons.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,What comes after 25?,26,"['Count up from 25.', 'The next number is 26.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 36, __, 38, __, 40","37, 39","['The sequence increases by 1.', 'Missing numbers are 37 and 39.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the cats: 🐱🐱🐱🐱🐱,5,"['Count each cat one by one.', 'There are 5 cats in total.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 4?,5,"['Start counting from 4.', 'The number after 4 is 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the hearts: ❤️❤️❤️❤️❤️❤️❤️,7,"['Count each heart one at a time.', 'There are 7 hearts.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What number comes before 10?,9,"['Count backward from 10.', 'The number before 10 is 9.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 41, __, 43, __, 45","42, 44","['The pattern increases by 1 each time.', 'Missing numbers are 42 and 44.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,What comes after 47?,48,"['Count forward from 47.', 'The next number is 48.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write the numbers from 51 to 55.,"51, 52, 53, 54, 55","['Start at 51 and count up to 55.', 'List each number in order.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers backward from 15 to 6.,"15, 14, 13, 12, 11, 10, 9, 8, 7, 6",['Start at 15 and count down by 1 each time until you reach 6.']
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the butterflies: 🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋,12,"['Count each butterfly carefully.', 'There are 12 butterflies in total.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Write numbers from 1 to 3 in order.,"1, 2, 3","['Start at 1 and go up to 3.', 'Write each number in order.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the cars: 🚗🚗🚗🚗🚗🚗,6,"['Count each car: 1, 2, 3, 4, 5, 6.', 'Total cars: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 61, __, 63, __, 65","62, 64","['The pattern increases by 1 each time.', 'Missing numbers are 62 and 64.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,What comes before 33?,32,"['Count backward from 33.', 'The number before 33 is 32.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the trees: 🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳,13,"['Count each tree one by one.', 'There are 13 trees in total.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write the numbers from 36 to 40.,"36, 37, 38, 39, 40","['Start at 36.', 'Count forward until 40.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 72, __, 74, __, 76","73, 75","['Numbers go up by 1 each time.', 'Missing numbers are 73 and 75.']"
